Game_Rank,Name,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release_Year
189,Super Mario World: Super Mario Advance 2,GBA,Nintendo,Nintendo EAD,9.4,5.46,3.21,1.11,0.95,0.2,09th Feb 02
190,LEGO Star Wars: The Complete Saga,Wii,LucasArts,Traveller's Tales,8.0,5.66,3.57,1.57,,0.52,06th Nov 07
191,Cooking Mama,DS,Majesco,Office Create,6.6,5.66,3.09,1.92,0.07,0.58,12th Sep 06
192,Tetris,NES,Nintendo,Nintendo,,5.58,2.97,0.69,1.81,0.11,01st Nov 89
193,Super Mario Advance,GBA,Nintendo,Nintendo EAD,8.2,5.49,3.14,1.24,0.91,0.2,10th Jun 01
194,Assassin's Creed II,PS3,Ubisoft,Ubisoft Montreal,9.0,5.57,2.54,1.95,0.21,0.86,17th Nov 09
195,Super Smash Bros.,N64,Nintendo,HAL Laboratory,8.4,5.55,2.95,0.6,1.97,0.04,26th Apr 99
196,Assassin's Creed,X360,Ubisoft,Ubisoft Montreal,8.2,5.55,3.28,1.64,0.07,0.56,13th Nov 07
197,Batman: Arkham City,PS3,Warner Bros. Interactive,Rocksteady Studios,9.6,5.54,2.72,1.89,0.11,0.82,18th Oct 11
198,Forza Motorsport 3,X360,Microsoft Game Studios,Turn 10 Studios,9.2,5.5,2.99,1.9,0.1,0.51,27th Oct 09
199,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,Level 5,8.6,5.79,0.63,0.67,4.35,0.15,11th Jul 10
200,Final Fantasy IX,PS,Square,SquareSoft,9.2,5.3,1.62,0.77,2.78,0.14,13th Nov 00
201,Final Fantasy X-2,PS2,Square Enix,Square Enix,8.3,5.29,1.92,1.08,2.11,0.17,18th Nov 03
202,Pokémon Stadium,N64,Nintendo,HAL Laboratory,7.5,5.45,3.18,1.24,0.94,0.09,06th Mar 00
203,Minecraft,XOne,Microsoft Studios,Mojang,,5.43,3.23,1.71,,0.49,18th Nov 14
204,Call of Duty: World at War,PS3,Activision,Treyarch,8.4,5.43,2.75,1.84,,0.84,10th Nov 08
205,Super Mario Advance 4: Super Mario Bros. 3,GBA,Nintendo,Nintendo EAD,9.2,5.2,2.93,1.25,0.83,0.2,21st Oct 03
206,Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,Traveller's Tales,6.9,5.42,2.07,2.29,0.24,0.82,29th Oct 01
207,Super Smash Bros. for Wii U,WiiU,Nintendo,Bandai Namco Games,9.2,5.07,2.68,1.15,0.85,0.39,21st Nov 14
208,Final Fantasy XIII,PS3,Square Enix,Square Enix,8.0,5.35,1.75,1.23,1.87,0.51,09th Mar 10
209,Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,4.2,1.28,1.83,0.57,0.52,15th Apr 08
210,Dr. Mario,GB,Nintendo,Nintendo R&D1,,5.34,2.18,0.96,2.0,0.2,01st Dec 90
211,Assassin's Creed III,X360,Ubisoft,Ubisoft Montreal,,5.31,3.13,1.71,0.03,0.45,30th Oct 12
212,Pokémon Pinball,GBC,Nintendo,Jupiter Corporation,8.7,5.31,3.02,1.12,1.01,0.16,31st Jul 99
